id,lat,lon
787c7bd19d,-23.643962,-46.593475
4d68c0cdbe,-23.598023,-46.682781
6654d93423,-23.603692,-46.67355
9ffaf676ae,-23.561318,-46.686355
f03e22422a,-23.568103,-46.628405
aad80ae86e,-23.634531,-46.732089
7749de07b3,-23.634498,-46.662651
8e1922c386,-23.498264,-46.612251
690407f653,-23.606956,-46.602505
fced9c8f80,-23.553004,-46.577788
1cab20f688,-23.614779,-46.595946
7be005debd,-23.613883,-46.626895
e831915be3,-23.575314,-46.737489
7623d6d4d0,-23.671882,-46.684269
3d756cfa06,-23.534724,-46.683927
7a7f945bf9,-23.664824,-46.688407
5d88ebdfea,-23.516717,-46.712707
47e9737aaa,-23.598327,-46.611316
31bcb66fb9,-23.646971,-46.738922
10b25e3090,-23.567793,-46.687788
cbee3ce1f0,-23.5876,-46.488497
2348891a0d,-23.565356,-46.576438
b5f8a5c8d2,-23.550673,-46.596921
67739c76ff,-23.666044,-46.717464
7ee2a005cb,-23.691071,-46.792934
c89384ec86,-23.49167,-46.629228
571fcedf26,-23.597315,-46.554757
ebf708842f,-23.534171,-46.579155
ea4919830b,-23.568103,-46.628405
3e6af42937,-23.651772,-46.751572
cdb501c35c,-23.477879,-46.708328
49255949c3,-23.59337,-46.707943
029392ddf8,-23.627822,-46.66819
2e0f896a4f,-23.617581,-46.683999
2fed985fde,-23.658699,-46.69087
de2fe59a15,-23.586013,-46.602744
7a31591e34,-23.60795,-46.664742
94901f06f6,-23.6396,-46.674876
ac2c8cb380,-23.553518,-46.659002
bf36640900,-23.603565,-46.664729
a948ef7f37,-23.560434,-46.755829
22f6849c91,-23.563682,-46.649655
200161d57d,-23.477804,-46.593067
e43119df0b,-23.616682,-46.685148
c9c3b16812,-23.534574,-46.479788
2b2ef032c0,-23.468352,-46.606348
3fc0046d0a,-23.476438,-46.604145
0759a66d72,-23.664202,-46.689991
89de0dffab,-23.681442,-46.792068
7bb17cb1aa,-23.570912,-46.515631
9785fb04aa,-23.533938,-46.679038
ac0c82e21c,-23.560033,-46.667008
e02a9f1d26,-23.60996,-46.527602
3c7ff4a1f1,-23.497694,-46.612494
7826a4fa0b,-23.561396,-46.666459
c5a187992f,-23.631868,-46.710826
aaa23f3c63,-23.558264,-46.656668
635081fbda,-23.622137,-46.677588
a66184c258,-23.651848,-46.718177
e71ab111e1,-23.653164,-46.747704
57ed8367fc,-23.622513,-46.604187
43565c99f8,-23.477887,-46.609825
5bc3cb677d,-23.584893,-46.672655
13b7baf0f9,-23.600701,-46.673279
af44732695,-23.519453,-46.725872
ce22d420b7,-23.652446,-46.756747
25cd1e18ba,-23.599707,-46.687061
53870b9c1e,-23.503143,-46.720414
67315eb62b,-23.506788,-46.589384
16319f199e,-23.687017,-46.676925
0396d12f15,-23.532913,-46.683093
278c9151b0,-23.616918,-46.733063
7c1c75c66b,-23.490505,-46.616447
dc973443eb,-23.494754,-46.636978
89726c6e0a,-23.582244,-46.643061
ad305d374a,-23.521684,-46.722566
0eeb024e9a,-23.623095,-46.745407
315ed19ee2,-23.625184,-46.731972
07fb938e91,-23.513635,-46.688064
5533d7e7f6,-23.534574,-46.479788
8502c6b5ce,-23.575459,-46.632625
a4f420882c,-23.49789,-46.58464
edbf4fd485,-23.639584,-46.715101
7ee66ebc16,-23.517648,-46.505237
9cc8ab1340,-23.57282,-46.625529
6636d94367,-23.581064,-46.683813
5706c56c08,-23.563106,-46.67218
2e019edc7d,-23.553199,-46.680009
15b9d2e634,-23.600174,-46.683006
7b50b75ddf,-23.598003,-46.602693
fdfefaece4,-23.610581,-46.601231
8f5392a4d4,-23.543903,-46.663086
42ed441907,-23.527816,-46.549341
6cdae4002a,-23.60173,-46.672669
42b82a0608,-23.618627,-46.636602
fcc92a32c9,-23.532896,-46.568899
d2e906fe54,-23.50247,-46.591032
8c4a40afff,-23.566947,-46.654511
0d50fbd84d,-23.656969,-46.649897
aeadc81f9d,-23.555734,-46.659721
8bfc3fcd00,-23.617221,-46.624918
1e37afbf7d,-23.645254,-46.666838
274a3c84ca,-23.622445,-46.671423
157e066fe4,-23.689098,-46.792034
b06785592f,-23.568103,-46.628405
4e7ebab60a,-23.61468,-46.63493
e3af1bdae1,-23.54714,-46.57111
334db65f10,-23.648012,-46.737438
7c5eed3919,-23.523761,-46.7023
0e51542dd8,-23.606411,-46.67387
c536281c6b,-23.673087,-46.793548
8ce112475d,-23.592062,-46.607754
93428a39d0,-23.54714,-46.57111
f0a866f8aa,-23.660539,-46.685758
c3b6f015c0,-23.572294,-46.654957
c325699e47,-23.60173,-46.672669
e5654989d1,-23.663583,-46.690295
4c76652152,-23.65459,-46.610845
3df073a06f,-23.572294,-46.654957
1a9715dc73,-23.626404,-46.601459
